City_State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUGAR LAND_42,85055,83460,82924,80475,78817,82696,81763,82402,77901,74934,72004,69666,66147,64765,63328,52470,50859,32652,32130,31452,30270,29699,25495,25052,24529,23754,21082,21980,15544,12495,12204,NA,NA,NA,NA
PALMDALE_4,158210,156522,155294,154546,152750,146377,144109,142122,135782,132024,129233,125651,120956,118838,116670,101624,108589,106176,104894,103943,85894,85293,71401,70275,68842,41356,28539,28031,19575,15306,14875,13099,12865,12571,12245
PEARLAND_42,97054,92970,89977,88531,86706,83154,78275,68836,55027,50341,46188,42911,37285,36506,35696,29584,27916,26374,25953,25405,22314,21893,19432,19095,18697,17649,16843,17129,16368,15186,14832,13698,13312,12855,12345
PEORIA_2,164715,161634,158340,156239,154058,163731,151090,146882,143208,136766,131121,126048,115245,112095,108364,89093,80417,78399,76214,72600,59506,57476,52920,51788,50618,39432,31605,30989,18712,15164,14526,13502,13033,12728,12374
FRANKLIN_41,70485,67465,64848,63051,62487,60074,58997,57489,53989,48697,47000,45521,42636,42215,41842,31226,27170,26266,26032,25719,23036,22698,20702,20410,20098,20243,19629,18701,16383,14548,14410,12779,12687,12575,12399
CATHEDRAL CITY_4,53368,53064,52867,51802,51200,53236,53601,53953,52179,51093,49088,46781,44214,43440,42647,38189,37637,35657,35227,34908,34152,33913,31203,30711,30085,26390,21937,20813,16325,13264,NA,NA,NA,NA,NA
MOUNT PLEASANT_39,76702,73198,70016,68633,67843,67641,67027,60746,58833,57115,55461,53613,48739,48214,47609,NA,35282,35326,34753,34509,32579,32393,31111,30740,30108,26160,23053,22378,20160,17264,17024,14607,14335,14169,13715
DUBLIN_4,53795,49789,47004,46577,46036,46157,45995,43751,39682,37241,35991,34705,31074,30530,29973,28411,25859,26835,26511,26271,25631,25452,24092,23712,23229,23147,19689,19593,15858,14985,14563,14437,14179,NA,NA
BROOMFIELD_5,60693,59424,58145,56862,55889,56991,55820,46393,44300,43496,NA,NA,NA,22065,21474,21252,23023,20473,20105,19706,19167,18696,18190,17703,17271,17947,17259,17253,16847,16512,16240,15776,15304,14892,14467
LAKEVILLE_22,59194,57758,56805,56386,55954,55921,55600,54565,51828,49749,48198,46769,44006,43591,43128,39581,37993,34292,34088,33737,30658,30323,25449,25177,24854,22742,20137,19004,16951,15667,15550,15060,15021,14865,14760
KISSIMMEE_9,66623,64617,62183,60495,59682,63986,62815,62880,60365,57421,55811,49828,50001,49053,47814,39047,38553,38234,37572,36962,34780,34098,31326,30837,30050,28526,NA,26621,22989,20209,19515,17114,16691,16291,15331
ANKENY_14,53099,50194,46482,45821,45582,44339,42632,40546,36876,34578,31254,29940,27213,27088,27117,25147,23642,21379,21379,21305,19755,19651,18716,NA,18482,17406,16911,16631,16111,15643,15783,15395,NA,15353,15410
DESOTO_42,52038,51703,50795,50079,49047,48798,48131,47253,45918,43758,42403,40053,39321,38500,37646,36200,36087,36771,36183,35561,34650,33996,31747,31195,30544,29687,25801,25603,20439,17920,17503,17273,16786,16209,15566
MCKINNEY_42,152806,146869,138105,133876,131117,132146,126659,118113,99318,89863,81301,74217,56789,55603,54369,40986,35472,28054,27606,27023,24184,23728,22121,21737,21283,21937,21345,20702,19022,18678,18243,17723,17223,16631,15972
COMMERCE CITY_5,50754,49200,47590,46713,45913,45914,44451,42386,34835,30146,26520,24161,21993,21559,20991,17727,18271,18861,18522,18154,18028,17585,17342,16878,16466,16530,17221,17284,17619,17448,17161,17688,17159,16697,16220
LEAGUE CITY_42,91023,87881,84506,83723,81998,73900,70830,68032,62725,58506,55342,51916,47322,46334,45306,44261,41777,39240,38613,37798,34958,34299,31347,30802,30159,26751,24685,25251,23929,21260,20765,18311,17794,17182,16501
DELANO_4,52224,52210,54318,53665,53041,54801,54273,52051,45941,44280,43295,42534,40250,39546,38824,34782,32855,28420,28077,27823,24807,24634,23608,23236,22762,21217,20862,20577,19786,19006,18471,17701,17385,16987,16547
CONCORD_32,84558,82899,81396,80069,79066,67478,65725,63284,62311,60957,59882,59102,57860,56929,NA,35095,34306,32444,31999,31440,29573,29051,28231,27794,27347,30671,20767,20358,19229,18438,18172,17538,17357,17161,16851
PASCO_46,69115,67099,63806,60719,59781,58316,55612,52761,47293,42862,38684,35784,33017,32577,32066,27689,24915,24385,24051,23608,23068,22688,21462,20969,20337,17976,19278,19474,19585,19906,19636,17787,17560,17423,17015
BEND_36,82418,79926,78458,77455,76639,80550,77898,75185,68253,63751,60367,57626,53551,52812,52029,34678,33049,25168,24866,24377,23377,22968,21438,21042,20469,19745,19399,19184,17768,17206,17126,17610,17525,17512,NA
BARTLETT_41,58529,56360,55510,55106,54613,47881,48044,47333,43813,43315,42673,42190,41312,40905,40543,35736,36197,NA,33686,33281,31005,30550,27800,27408,26989,NA,23482,23159,21044,21544,21339,17834,17705,17549,17304
ROGERS_3,61105,59787,57757,56387,55964,58992,57205,54223,48905,45318,43218,41785,39361,39100,38829,37264,NA,31330,31169,30847,28000,27670,25198,24915,24692,23047,22390,21438,19880,19569,19488,17685,17404,17427,17351
VICTORVILLE_4,122316,121699,118687,117266,115903,117150,114305,104872,92086,83340,75852,71571,66382,65219,64029,69924,68823,51456,50835,50375,48981,48639,42186,41521,40674,29049,24641,23469,20602,17738,NA,NA,NA,NA,NA
CONROE_42,64446,62962,59856,57390,56207,57685,54554,51582,48375,44116,40566,39672,38450,37646,36811,35862,36067,32672,32150,31471,30634,30056,28698,28199,27610,22775,21961,20933,19765,21554,21052,19906,19344,18680,17939
PALM BAY_9,105287,104391,104635,104596,103190,103475,101759,100666,94399,90762,86966,84558,83044,81471,79413,78500,77408,78913,NA,76286,72562,71138,65294,64273,62632,56097,NA,47021,35743,28642,27658,20110,19613,19143,18015
CARMEL_13,87555,84880,81819,79596,79191,68424,65982,62037,59635,58519,43375,41121,38221,37946,37733,42386,38832,32021,31896,31689,29244,29046,25919,25681,25380,23944,21853,20924,19233,18625,18624,18131,18105,18088,18072
PORT ORANGE_9,57359,56850,57300,56812,56048,55604,55358,56155,54652,53985,52061,50225,47918,47010,45823,43583,42675,41514,NA,40133,38587,37830,36817,36242,35317,35244,NA,30483,27377,24654,23807,20471,19965,19486,18338
TRACY_4,85078,85174,85047,83897,82922,82019,82960,84151,80684,77411,73292,68732,59021,57987,56929,48341,46137,45926,45372,44961,39812,39534,34806,34257,33558,29244,27418,26934,23625,21800,21186,19777,19424,18980,18488
LENEXA_15,50876,49777,49222,48496,48190,47601,46392,45059,43741,42758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34657,34273,34034,34853,28797,NA,23584,20916,20812,19041,18908,18696,18490
FISHERS_13,85597,83358,79375,77186,76794,73538,70594,66099,57599,54630,48113,44705,38324,38048,37835,25781,21784,18596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KIRKLAND_46,85352,51288,50243,49552,48787,47565,47619,46686,46601,46174,46111,46003,46391,45771,45054,46263,44927,44366,43757,42951,42342,41645,42268,41297,40052,21408,20103,19667,19036,19825,19556,19455,19207,19057,18611
LAKE ELSINORE_4,58665,56232,53912,52430,51821,54235,52138,47937,39612,37255,35317,32200,29990,29466,28928,28616,26886,23329,23048,22840,20723,20578,18964,18665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YUBA CITY_4,65525,65133,65653,65688,64925,62495,62595,61881,59156,52470,49563,47708,38109,37441,36758,33477,33525,33304,32902,32604,30939,30723,28456,28008,27437,23516,22287,22105,21549,21293,20693,20082,19724,19274,18774
EDEN PRAIRIE_22,63036,62714,62052,61266,60797,61893,62516,61910,61054,60807,59959,57794,56020,55490,54901,50812,48012,49188,48895,48392,44043,43561,40253,39822,39311,33244,26412,26023,22545,19213,NA,NA,NA,NA,NA
GREENWOOD_13,54345,53208,51746,50045,49791,49136,47770,46063,42516,41038,39813,39180,36503,36240,36037,33667,31548,30922,30801,30601,28766,28571,26823,26577,26265,24216,23864,22994,21902,20853,20851,19363,19335,19317,19300
SOUTHAVEN_23,51474,50801,49938,49167,48982,46093,44570,43228,38700,36470,35022,33271,29254,29113,28977,23575,NA,NA,NA,19532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PORTERVILLE_4,55391,55267,55533,54802,54165,52555,52308,46621,45364,44303,42974,41742,41070,40351,39615,36124,35256,33290,32888,32590,31313,31094,30661,30178,29563,26144,25291,25089,24393,23449,22789,20950,20576,NA,19585
HARRISONBURG_45,52026,51767,50524,49498,48914,44597,44346,40869,40841,41659,41580,41429,41697,41092,40468,33836,33797,34189,33890,33601,32949,32643,31647,31196,30707,26864,27624,27547,26867,26530,26125,20552,20334,20093,19713
HOMESTEAD_9,64938,64024,62785,61337,60512,62037,60184,58074,45244,38814,34941,34344,33368,32736,31909,29453,23498,24132,NA,23329,29641,29059,28008,27570,26866,24099,NA,22944,22267,23457,22651,22117,21571,21053,19813
COLTON_4,53485,53403,53431,52767,52154,50803,51177,51924,51812,51723,51186,50356,49413,48548,47662,45329,44428,42336,41825,41446,43791,43485,41708,41050,40213,36050,31637,30133,24964,23794,23124,21246,20867,20391,19862
CONWAY_3,64895,64060,60700,59354,58908,59343,58945,57245,52592,50843,48312,46180,43759,43469,43167,39366,37245,34913,34734,34375,30920,30555,27024,26720,26481,25499,24499,23613,21640,20933,20846,20665,20337,20363,20275
MAPLE GROVE_22,66354,65318,62840,62042,61567,62801,63335,62145,60155,58994,57642,57157,51391,50906,50365,47429,45504,47865,47580,47090,43217,42744,39663,39239,38736,35781,30818,30364,27638,24770,24586,20935,20880,20662,20517
DAVIE_9,98010,96581,94952,93246,91992,90147,90268,87007,85624,84443,82149,81315,79182,77682,75720,63045,60966,60193,NA,58189,53893,52835,49223,48454,NA,43154,NA,38606,NA,NA,33824,22937,22371,21834,20548
