"","city","aypi"
"285","GLOUCESTER TOWNSHIP",0.0106437904877837
"286","WHITE PLAINS",0.00674755500240915
"287","ENID",0.000691317779778611
"288","SAN MARCOS",0.0417437174206098
"289","BELLINGHAM",0.0179420878072579
"290","ARCADIA",0.00694644354863828
"291","MELBOURNE",0.0167857113171771
"292","NORTH BERGEN TOWNSHIP",0.00890878139577712
"293","PEABODY",0.0041975650205883
"294","HUNTINGTON PARK",0.00753532738934041
"295","RAPID CITY",0.0133965703072654
"296","KILLEEN",0.0339940797144539
"297","GASTONIA",0.0143169397080619
"298","WAYNE TOWNSHIP",0.00515633761164002
"299","ST. CLOUD",0.00899349353454709
"300","UPLAND",0.014803862213383
"301","HAVERHILL",0.00921149732042144
"302","CHEYENNE",0.00882440035159904
"303","FLORISSANT",-0.00097886004725224
"304","SUFFOLK",0.0178751922135707
"305","EAST HARTFORD",-0.00039235195859008
"306","LA CROSSE",0.00219876845378751
"307","CANTON TOWNSHIP",0.0212295886196654
"308","DENTON",0.0298903086080649
"309","LANCASTER",0.0374268267750881
"310","MILFORD",0.00154817140284102
"311","LIVERMORE",0.0174629446239539
"312","PLANTATION",0.0203643940728141
"313","NATIONAL CITY",0.00715538524214695
"314","DOTHAN",0.00963480783325041
"315","LAKELAND",0.0243426816569962
"316","STRATFORD",0.00107389590345514
"317","SARASOTA",0.00332734654791717
"318","SOUTH SAN FRANCISCO",0.00931338296191469
"319","SANTA FE",0.0204446376355588
"320","SHORELINE",0.00662204537395673
"321","BROOKHAVEN",0.0359750269456816
"322","JACKSON",0.0100775673314683
"323","MIDWEST CITY",0.00448716809247845
"324","YAKIMA",0.0199645989905968
"325","VISALIA",0.0286813427199663
"326","OSHKOSH",0.00927208755421559
"327","ST. GEORGE",0.0330563125879098
"328","MANCHESTER",0.00466627530348823
"329","WAUKESHA",0.0109567970042696
"330","IRONDEQUOIT TOWN",-0.00255778564581153
"331","EAU CLAIRE",0.00882000807854569
"332","NAPA",0.0139626432337485
"333","LA MESA",0.00509823165381887
"334","IOWA CITY",0.0122854765235679
"335","PARSIPPANY-TROY HILLS TW",0.00403212899278901
"336","OAK PARK",-0.00246720869879516
"337","CHARLESTON",-0.00590712336630936
"338","UNION TOWNSHIP",0.00433726575180175
"339","SAGINAW",-0.0124858902301189
"340","LAKEWOOD",-0.00615647896565704
"341","BOCA RATON",0.0188658586528739
"342","BETHLEHEM",0.0027931298681795
"343","BALDWIN PARK",0.0126186487615898
"344","SANDY",0.0181385054726276
"345","VICTORIA",0.00783988595198448
"346","BOSSIER CITY",0.0086191192422362
"347","JANESVILLE",0.00692069164433435
"348","HAMDEN",0.0056765033226066
"349","DEARBORN HEIGHTS",-0.00516789077076653
"350","MOUNT PROSPECT",0.00342962289574556
"351","ST. PETERS",0.0059851148554428
"352","POMPANO BEACH",0.02258501465191
"353","WEST HAVEN",0.00105611964577905
"354","BLOOMINGTON",0.014809089000979
"355","BROOKLINE",0.00276452119165731
"356","PENSACOLA",-0.00208105908387903
"357","SCHAUMBURG",0.0170747421278024
"358","FAIRFIELD",0.00340148814791012
"359","MALDEN",0.0045360658717392
"360","BENSALEM TOWNSHIP",0.00471724719197411
"361","PASSAIC",0.0095040213901094
"362","ELGIN",0.0231279526626005
"363","SANTEE",0.00128237956895971
"364","OREM",0.0176494737533853
"365","BOWIE",0.00923328181856577
"366","RAMAPO TOWN",0.0179991285926683
"367","WEST CHESTER TOWNSHIP",0.00897543999985355
"368","WALNUT CREEK",0.00744309045671184
"369","MONTEBELLO",0.00568395501544694
"370","OAK LAWN",-0.00227857772372862
"371","VINELAND",0.00433430212638465
"372","KETTERING",-0.00298045605124184
"373","BELLFLOWER",0.0116586187886848
"374","WEYMOUTH",0.000443687958008029
"375","DES PLAINES",0.0044451596847699
"376","PICO RIVERA",0.00551752533181532
"377","APPLETON",0.00413830583312868
"378","OWENSBORO",0.00288554861054068
"379","DAYTONA BEACH",0.00497693621378559
"380","BRISTOL TOWNSHIP",-0.00252477383981258
"381","FOUNTAIN VALLEY",0.00134524925839327
"382","ASHEVILLE",0.0150666854627036
"383","BRICK TOWNSHIP",0.0104665281678515
"384","UNION CITY",0.00698891137256021
"385","TERRE HAUTE",0.00055172235432735
"386","CHICOPEE",0.000597136431036752
"387","PORT ARTHUR",-0.00365103143778825
"388","MEDFORD",-0.000358037454533213
"389","IRVINGTON",-0.00344919170813073
"390","GREELEY",0.0181281620860534
"391","ROCHESTER",0.0218991049124903
"392","MONTEREY PARK",0.00382544587840719
"393","EASTVALE",0.00742706307651303
"394","COUNCIL BLUFFS",0.00358202106399663
"395","EVERETT",0.0212908618650602
"396","LANCASTER",0.00299940588560879
"397","CLARKSVILLE",0.0296191906620199
"398","PALO ALTO",0.00619653204179146
"399","WALTHAM",0.00247658516250133
"400","GREAT FALLS",0.00227080501786647
"401","NORTH CHARLESTON",0.0147098300133223
"402","ANDERSON",-0.00584651722203089
"403","COLERAIN TOWNSHIP",0.00613473680281213
"404","GREENVILLE",0.0020281312871668
"405","WEST HARTFORD",0.00137203712354976
"406","TONAWANDA TOWN",-0.00713686516111649
"407","HAWTHORNE",0.0131049123012737
"408","MERIDEN",0.00198908769754346
"409","REDWOOD CITY",0.0112039209599104
"410","LOWER MERION TOWNSHIP",-0.000574362520755956
"411","DUBUQUE",-0.00193650319828439
"412","BAYTOWN",0.00757077942255183
"413","ROYAL OAK",-0.00505657138618619
"414","LAKEWOOD",-0.00413889589514225
"415","FARMINGTON HILLS",0.0103976845402307
"416","REDONDO BEACH",0.0054773666786904
"417","LAKE FOREST",0.0205701041474684
"418","BAYONNE",0.000530362310405887
"419","CHAMPAIGN",0.0198217823941227
"420","BRISTOL",0.00172984927142509
"421","GREENWICH",0.00201668755171422
"422","FAIRFIELD",0.0193837958571636
"423","ENCINITAS",0.0044358259392563
"424","UTICA",-0.00562569273635083
"425","NEWPORT BEACH",0.0124467997671367
"426","WEST ALLIS",-0.00149928373281862
"427","WEST PALM BEACH",0.0185497862786781
"428","MOUNTAIN VIEW",0.00905434031602969
