"","city","aypi","population"
"222","RIALTO",0.0308663686642376,102540
"223","CORONA",0.0451157571138345,161128
"224","HOFFMAN ESTATES",0.0173520609317787,52512
"225","SHELBY TOWNSHIP",0.0212090068276593,76556
"226","MINNETONKA",0.00903639606124006,51769
"227","SPRINGFIELD",0.0116091240762644,60377
"228","BOWLING GREEN",0.0147631850123808,62117
"229","UNION CITY",0.0190585656516557,73268
"230","NEW BRUNSWICK",0.00964956826992525,56193
"231","SANTA MARIA",0.0300449954458038,102885
"232","MEDFORD",0.020493611925264,78356
"233","WARNER ROBINS",0.0190375466224086,73063
"234","IDAHO FALLS",0.0118438223767153,58606
"235","GULFPORT",0.0214122693951033,71813
"236","THORNTON",0.0378163473326284,129442
"237","VACAVILLE",0.0263388050332415,94701
"238","CHINO",0.0215423437405279,81600
"239","CORVALLIS",0.00937647283162626,55541
"240","CORAL GABLES",0.00609910622360103,50316
"241","SPARKS",0.0253113136845634,94012
"242","ALISO VIEJO",0.0172290940543834,50671
"243","ELKHART",0.00783278692173059,51366
"244","WEST BLOOMFIELD TOWNSHIP",0.0147769026630664,66222
"245","NAPERVILLE",0.0278473824782208,97527
"246","SANTA CRUZ",0.0128232658946763,63440
"247","NOVATO",0.0082072775643197,54756
"248","REVERE",0.0110980004380022,54402
"249","DECATUR",0.00910343424264193,55744
"250","YUMA",0.0317450140926081,92075
"251","REDDING",0.0236064655311382,91426
"252","PISCATAWAY TOWNSHIP",0.0101700705263818,59089
"253","NORTH MIAMI",0.0129123602274892,61501
"254","ANTIOCH",0.0284345649158738,108223
"255","CASPER",0.00588872715635069,60771
"256","VANCOUVER",0.0494670969199613,168688
"257","TEMPLE",0.0160183093955846,71049
"258","ROSEMEAD",0.00754787629337933,54748
"259","NORTH LAS VEGAS",0.0745657424227349,229436
"260","WHEATON",0.0122945906426749,53806
"261","LAFAYETTE",0.0157603092008464,70749
"262","LONGMONT",0.0248310017992762,90762
"263","HARLINGEN",0.0130420503388137,65808
"264","BROOKLYN PARK",0.0186519792477129,78986
"265","REDLANDS",0.0144972923278838,70295
"266","HEMPSTEAD VILLAGE",0.011396795030564,55722
"267","GRAND FORKS",0.0074317861634974,55438
"268","LYNWOOD",0.0150590293039125,71812
"269","AMES",0.0107711701233036,62514
"270","SAN RAFAEL",0.0091163540731194,59292
"271","POCATELLO",0.00495415866902611,54346
"272","SUNRISE",0.0260477760697772,91544
"273","WILMINGTON",0.0290690264659057,113418
"274","KOKOMO",0.00637416399867415,56904
"275","BRYAN",0.0181314313269846,79267
"276","BLOOMINGTON",0.0301182048249723,79451
"277","BISMARCK",0.0128735160719113,68492
"278","YORK AREA REGIONAL",0.0235921306718756,61107
"279","BERWYN",0.0127323535903698,56778
"280","LA HABRA",0.00980845372641178,61964
"281","LAS CRUCES",0.0262631411710227,102113
"282","GARDENA",0.00875952649502169,60233
"283","PLAINFIELD",0.00350712535202435,50839
"284","TAUNTON",0.00692562744936173,56277
"285","GLOUCESTER TOWNSHIP",0.0106437904877837,64322
"286","WHITE PLAINS",0.00674755500240915,58103
"287","ENID",0.000691317779778611,51037
"288","SAN MARCOS",0.0417437174206098,90799
"289","BELLINGHAM",0.0179420878072579,83048
"290","ARCADIA",0.00694644354863828,57950
"291","MELBOURNE",0.0167857113171771,77797
"292","NORTH BERGEN TOWNSHIP",0.00890878139577712,62817
"293","PEABODY",0.0041975650205883,52366
"294","HUNTINGTON PARK",0.00753532738934041,59064
"295","RAPID CITY",0.0133965703072654,71481
"296","KILLEEN",0.0339940797144539,139211
"297","GASTONIA",0.0143169397080619,73576
"298","WAYNE TOWNSHIP",0.00515633761164002,55197
"299","ST. CLOUD",0.00899349353454709,52856
"300","UPLAND",0.014803862213383,75790
"301","HAVERHILL",0.00921149732042144,62552
"302","CHEYENNE",0.00882440035159904,63155
"303","FLORISSANT",-0.00097886004725224,52387
"304","SUFFOLK",0.0178751922135707,85987
"305","EAST HARTFORD",-0.00039235195859008,51185
"306","LA CROSSE",0.00219876845378751,51564
"307","CANTON TOWNSHIP",0.0212295886196654,89073
"308","DENTON",0.0298903086080649,125248
"309","LANCASTER",0.0374268267750881,160190
"310","MILFORD",0.00154817140284102,53222
"311","LIVERMORE",0.0174629446239539,86147
"312","PLANTATION",0.0203643940728141,91549
"313","NATIONAL CITY",0.00715538524214695,60130
"314","DOTHAN",0.00963480783325041,67254
"315","LAKELAND",0.0243426816569962,101428
"316","STRATFORD",0.00107389590345514,52279
"317","SARASOTA",0.00332734654791717,53620
"318","SOUTH SAN FRANCISCO",0.00931338296191469,66793
"319","SANTA FE",0.0204446376355588,70438
"320","SHORELINE",0.00662204537395673,55206
"321","BROOKHAVEN",0.0359750269456816,50942
"322","JACKSON",0.0100775673314683,67869
"323","MIDWEST CITY",0.00448716809247845,57313
"324","YAKIMA",0.0199645989905968,93667
"325","VISALIA",0.0286813427199663,128488
"326","OSHKOSH",0.00927208755421559,66962
"327","ST. GEORGE",0.0330563125879098,77838
"328","MANCHESTER",0.00466627530348823,58204
"329","WAUKESHA",0.0109567970042696,71093
"330","IRONDEQUOIT TOWN",-0.00255778564581153,51390
"331","EAU CLAIRE",0.00882000807854569,65937
"332","NAPA",0.0139626432337485,79572
"333","LA MESA",0.00509823165381887,59005
"334","IOWA CITY",0.0122854765235679,72522
"335","PARSIPPANY-TROY HILLS TW",0.00403212899278901,54025
"336","OAK PARK",-0.00246720869879516,52109
"337","CHARLESTON",-0.00590712336630936,50693
"338","UNION TOWNSHIP",0.00433726575180175,57830
"339","SAGINAW",-0.0124858902301189,50030
"340","LAKEWOOD",-0.00615647896565704,50923
"341","BOCA RATON",0.0188658586528739,90496
"342","BETHLEHEM",0.0027931298681795,55442
"343","BALDWIN PARK",0.0126186487615898,76933
"344","SANDY",0.0181385054726276,90860
"345","VICTORIA",0.00783988595198448,65726
"346","BOSSIER CITY",0.0086191192422362,67469
"347","JANESVILLE",0.00692069164433435,63885
"348","HAMDEN",0.0056765033226066,61599
"349","DEARBORN HEIGHTS",-0.00516789077076653,56366
"350","MOUNT PROSPECT",0.00342962289574556,54891
"351","ST. PETERS",0.0059851148554428,55362
"352","POMPANO BEACH",0.02258501465191,105523
"353","WEST HAVEN",0.00105611964577905,54917
"354","BLOOMINGTON",0.014809089000979,83075
"355","BROOKLINE",0.00276452119165731,59413
"356","PENSACOLA",-0.00208105908387903,52873
"357","SCHAUMBURG",0.0170747421278024,75060
"358","FAIRFIELD",0.00340148814791012,61146
"359","MALDEN",0.0045360658717392,60925
"360","BENSALEM TOWNSHIP",0.00471724719197411,60506
"361","PASSAIC",0.0095040213901094,71228
"362","ELGIN",0.0231279526626005,85896
"363","SANTEE",0.00128237956895971,56737
"364","OREM",0.0176494737533853,92409
"365","BOWIE",0.00923328181856577,57188
"366","RAMAPO TOWN",0.0179991285926683,88881
"367","WEST CHESTER TOWNSHIP",0.00897543999985355,59629
"368","WALNUT CREEK",0.00744309045671184,67555
"369","MONTEBELLO",0.00568395501544694,63737
"370","OAK LAWN",-0.00227857772372862,57159
"371","VINELAND",0.00433430212638465,61115
"372","KETTERING",-0.00298045605124184,55311
"373","BELLFLOWER",0.0116586187886848,77830
"374","WEYMOUTH",0.000443687958008029,55996
"375","DES PLAINES",0.0044451596847699,59041
"376","PICO RIVERA",0.00551752533181532,63970
"377","APPLETON",0.00413830583312868,60979
"378","OWENSBORO",0.00288554861054068,58659
"379","DAYTONA BEACH",0.00497693621378559,62629
"380","BRISTOL TOWNSHIP",-0.00252477383981258,54349
"381","FOUNTAIN VALLEY",0.00134524925839327,57024
"382","ASHEVILLE",0.0150666854627036,88184
"383","BRICK TOWNSHIP",0.0104665281678515,75995
"384","UNION CITY",0.00698891137256021,68787
"385","TERRE HAUTE",0.00055172235432735,61085
"386","CHICOPEE",0.000597136431036752,55831
"387","PORT ARTHUR",-0.00365103143778825,54170
"388","MEDFORD",-0.000358037454533213,57551
"389","IRVINGTON",-0.00344919170813073,54377
"390","GREELEY",0.0181281620860534,97406
"391","ROCHESTER",0.0218991049124903,111712
"392","MONTEREY PARK",0.00382544587840719,61284
"393","EASTVALE",0.00742706307651303,55504
"394","COUNCIL BLUFFS",0.00358202106399663,61864
"395","EVERETT",0.0212908618650602,105911
"396","LANCASTER",0.00299940588560879,59325
"397","CLARKSVILLE",0.0296191906620199,144639
"398","PALO ALTO",0.00619653204179146,67169
"399","WALTHAM",0.00247658516250133,62756
"400","GREAT FALLS",0.00227080501786647,59501
"401","NORTH CHARLESTON",0.0147098300133223,84781
"402","ANDERSON",-0.00584651722203089,55545
"403","COLERAIN TOWNSHIP",0.00613473680281213,58813
"404","GREENVILLE",0.0020281312871668,61924
"405","WEST HARTFORD",0.00137203712354976,63360
"406","TONAWANDA TOWN",-0.00713686516111649,58077
"407","HAWTHORNE",0.0131049123012737,86670
