"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35"
"KNOXVILLE",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"KANSAS.CITY",15,15,8,15,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"SOUTH.BEND",9,9,9,9,9,9,8,8,8,NA,NA,NA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"AKRON",9,9,9,9,9,9,8,9,8,8,8,8,8,8,8,8,9,NA,NA,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"RACINE",9,9,9,9,9,9,8,15,15,8,8,8,8,9,9,9,9,9,NA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"LORAIN",9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8
"PEORIA",8,8,8,8,8,8,8,8,8,8,8,8,9,NA,9,NA,9,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,5,5,9
"TUCSON",9,9,9,9,9,9,9,8,8,NA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9
"CINCINNATI",8,9,9,9,15,15,8,8,8,8,8,8,8,8,8,8,8,NA,NA,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"TOLEDO",8,8,NA,8,8,8,8,8,NA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9
"OAKLAND",8,8,8,15,8,15,8,15,8,8,15,8,8,8,8,NA,8,8,8,8,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8
"SANTA.BARBARA",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"SAN.FRANCISCO",15,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"NEWARK",15,15,15,15,15,15,15,15,15,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9
"NEW.YORK",9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"DAVIS",5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,5,5,5,5,5,5,5,9,5
"WASHINGTON",9,9,9,9,9,9,9,9,3,3,3,3,3,3,3,3,3,3,8,8,9,8,8,8,9,9,9,9,9,9,9,9,9,9,8
"BOSTON",8,8,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"CHICO",9,9,9,9,9,9,9,9,9,9,15,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"PALO.ALTO",9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"BELLINGHAM",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
