"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35"
"KNOXVILLE",11,11,11,11,11,11,11,11,11,11,13,13,13,11,11,11,24,11,24,24,24,7,7,7,24,11,7,7,7,7,7,7,7,11,7
"KANSAS.CITY",13,13,13,13,13,13,13,13,13,13,13,13,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"SOUTH.BEND",13,13,13,11,11,11,13,13,13,NA,NA,NA,13,13,13,13,13,7,7,7,7,13,7,7,7,7,7,7,7,7,7,7,7,7,7
"AKRON",11,11,11,11,11,11,7,7,7,7,7,13,7,7,7,7,11,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"RACINE",11,8,24,11,24,24,13,25,7,7,7,7,7,7,7,24,24,24,NA,24,24,24,24,24,24,24,24,24,24,11,24,24,24,24,8
"LORAIN",8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,24,24,24,24,24,24,24,24,24,7,7,7,7,7,7,7
"PEORIA",7,7,7,7,7,7,7,7,7,7,7,7,8,NA,24,NA,24,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11
"TUCSON",11,24,11,11,11,13,7,7,7,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,24,24,24,24,24,11
"CINCINNATI",13,13,13,11,11,7,7,13,7,7,7,13,17,13,7,17,7,NA,NA,7,7,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"TOLEDO",13,13,NA,7,7,7,7,7,NA,17,17,17,7,17,17,17,7,7,7,7,7,17,7,7,7,7,7,7,7,13,11,11,11,11,11
"OAKLAND",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,NA,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"SANTA.BARBARA",11,11,11,11,11,11,11,11,11,11,8,11,11,11,11,11,11,11,8,8,11,8,11,11,11,8,11,11,8,24,8,11,11,11,11
"SAN.FRANCISCO",13,13,13,13,13,13,13,11,13,13,13,13,13,13,13,13,24,24,24,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11
"NEWARK",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,7,24,24,24,4,4,24,24,24,13,13,4,24
"NEW.YORK",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12
"DAVIS",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,8,8,11,8,11,8,8,8,8,8,11,8,11,12
"WASHINGTON",13,13,13,13,13,13,13,13,4,4,4,4,4,4,4,13,4,4,4,4,13,13,4,13,13,13,7,13,13,24,7,24,7,7,7
"BOSTON",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,7,7,7,7,7,7,11,24,24,24,24,24,24,24,24,24,24,11,11
"CHICO",11,11,11,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,8,11,11,11,11,11,11
"PALO.ALTO",11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,8,8,12,12,12,12,12,12,12,12,12
"BELLINGHAM",11,8,8,8,11,11,11,24,11,11,11,11,11,11,11,11,24,11,11,11,8,8,8,11,8,11,11,11,8,11,11,11,11,11,11
